country,users
Afghanistan,1220
Anguilla,86
Angola,290
Aruba,187
Ã…land Islands,24
Bahamas,226
Botswana,377
Bermuda,107
Brunei Darussalam,119
Burkina Faso,44
Burundi,31
Algeria,2350
Cameroon,172
Azerbaijan,3878
"Congo, the Democratic Republic of the",62
Czech Republic,6359
Eritrea,55
Costa Rica,1367
Fiji,135
Faroe Islands,339
Bulgaria,4709
Greenland,186
Estonia,1381
Guadeloupe,115
Guam,115
Guinea,29
Grenada,63
Guinea-Bissau,18
Guatemala,1042
Guernsey,67
Haiti,275
Holy See (Vatican City State),473
Honduras,723
Hong Kong,1358
Finland,4469
Jamaica,729
Japan,3235
Italy,26582
"Korea, Republic of",2061
"Micronesia, Federated States of",73
Montserrat,22
Mozambique,240
Namibia,186
Nauru,52
Niger,50
Netherlands,22556
Oman,924
Paraguay,920
Mauritius,223
Saint Pierre and Miquelon,98
Rwanda,70
Samoa,70
Sao Tome and Principe,36
Senegal,152
Saint Vincent and the Grenadines,36
Sierra Leone,39
Seychelles,163
Sint Maarten (Dutch part),7
Slovakia,2823
Romania,7991
"Taiwan, Province of China",706
Ukraine,19742
Yemen,436
Switzerland,6712
Western Sahara,62
Peru,6409
Serbia,9745
India,91523
